date,time,carbs_g,protein_g,fat_g,fiber_g,late_meal,post_meal_walk10,meal_auc,meal_peak,ttpeak_min
2025-01-01,08:00,45,20,15,8,0,0,88,108,45
2025-01-01,12:30,55,25,18,6,0,1,82,102,50
2025-01-01,19:00,60,30,22,10,0,1,79,98,55
2025-01-02,08:15,50,22,16,7,0,0,90,112,48
2025-01-02,13:00,48,24,20,9,0,0,85,105,52
2025-01-02,20:30,40,18,12,5,1,0,95,118,40
2025-01-03,07:45,52,26,19,11,0,1,78,99,58
2025-01-03,12:00,58,28,24,7,0,1,81,101,50
2025-01-03,18:45,44,20,14,8,0,0,87,106,47
2025-01-04,08:30,46,21,17,6,0,0,92,110,44
2025-01-04,12:45,62,30,25,10,0,1,76,97,53
2025-01-04,19:15,38,16,11,4,0,1,84,103,49
2025-01-05,08:00,54,27,21,9,0,0,89,109,46
2025-01-05,13:15,47,23,19,7,0,0,83,104,51
2025-01-05,20:00,42,19,13,5,1,0,94,116,42
2025-01-06,07:30,49,24,18,8,0,1,80,100,54
2025-01-06,12:00,56,29,23,11,0,1,77,96,56
2025-01-06,18:30,43,17,12,6,0,0,86,107,48
2025-01-07,08:45,51,25,20,7,0,0,91,111,45
2025-01-07,12:30,44,22,16,9,0,0,85,105,50
2025-01-07,19:45,39,18,14,5,1,0,93,115,41
2025-01-08,08:00,53,26,19,10,0,1,79,98,52
2025-01-08,13:00,59,28,22,8,0,1,82,102,49
2025-01-08,18:00,41,20,15,7,0,0,88,108,46
2025-01-09,08:20,48,23,17,6,0,0,90,110,44
2025-01-09,12:45,55,27,21,9,0,1,81,101,51
2025-01-09,20:15,45,21,13,4,1,0,96,119,39
2025-01-10,07:45,50,24,18,8,0,0,84,104,50
2025-01-10,12:00,52,25,20,7,0,1,78,99,53
2025-01-10,19:00,46,22,16,9,0,0,86,106,47
2025-01-11,08:30,47,21,15,6,0,0,89,109,45
2025-01-11,13:15,61,29,24,10,0,1,75,95,55
2025-01-11,18:30,42,19,12,5,0,1,85,105,48
2025-01-12,08:00,54,26,20,9,0,0,88,108,46
2025-01-12,12:30,49,23,18,7,0,0,83,103,50
2025-01-12,19:45,40,17,11,6,1,0,92,114,43
2025-01-13,08:15,51,25,19,8,0,1,80,100,52
2025-01-13,13:00,57,28,22,10,0,1,79,98,54
2025-01-13,18:45,44,20,14,7,0,0,87,107,46
2025-01-14,08:00,46,22,16,6,0,0,91,111,44
2025-01-14,12:45,53,26,21,9,0,0,82,102,51
2025-01-14,19:30,38,18,13,5,0,0,86,106,48
2025-01-15,07:30,52,24,18,8,0,1,77,97,53
2025-01-15,12:00,58,27,23,10,0,1,81,101,49
2025-01-15,18:00,43,19,15,6,0,0,88,108,45
